,team_nusers,team_degree,team_degree_centrality,team_betweenness_centrality,team_closeness_centrality,team_eigenvector_centrality,team_pagerank,team_avg_users_nshot,team_avg_users_in_degree,team_avg_users_out_degree,team_avg_users_rank,team_avg_users_diversity,team_avg_users_nskills,team_avg_users_nfollowers,team_avg_users_nfollowings,team_avg_users_avg_shots_ranking,team_avg_users_avg_shots_ntags,team_avg_users_avg_shots_ncomments,team_avg_users_avg_shots_nlikes,team_avg_users_avg_shots_nviews,team_avg_users_avg_shots_diversity
0,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2.000000,1.000000,0.000000,1.000000,5.000000,77.000000,508.000000,0.000000
1,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,3.000000,3.000000,8.000000,0.200000,2.021882,10.000000,11.000000,22.000000,0.040564,2.777778,0.888889,9.111111,176.666667,0.197615
2,4,1,0.000246,0.000000,0.026104,0.016293,0.000236,5.687500,8.812500,9.437500,0.075000,0.195132,0.812500,41.500000,23.625000,0.001364,0.073197,0.008869,0.700003,6.247368,0.003075
3,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,0.500000,1.750000,1.250000,2.850000,0.528857,2.500000,5.000000,1.250000,0.091667,4.000000,4.000000,44.250000,579.750000,0.619725
4,2,1,0.000246,0.000000,0.013262,0.000000,0.000353,44.500000,205.000000,107.500000,0.135417,0.840348,3.500000,2079.000000,228.750000,0.001751,0.077853,0.030533,0.908253,25.146555,0.008124
5,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,4.250000,2.500000,2.750000,0.041667,0.087895,1.500000,12.250000,3.750000,0.001250,0.035000,0.035612,1.004439,10.051633,0.001363
6,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,6.750000,54.000000,50.250000,0.345238,1.477482,4.000000,523.000000,368.000000,0.066320,1.062500,5.852811,58.941568,618.375000,0.170493
7,5,0,0.000000,0.000000,0.000000,0.000000,0.000091,0.360000,0.720000,1.760000,0.016889,0.167664,0.760000,1.920000,3.680000,0.009759,0.601111,0.778889,6.960000,86.585556,0.168795
8,2,1,0.000246,0.000000,0.000246,0.000000,0.000606,5.000000,7.000000,19.000000,2.857143,0.487682,1.750000,45.000000,41.500000,0.017990,0.622222,0.091111,2.486667,38.157778,0.056644
9,1,1,0.000246,0.000000,0.000329,0.000000,0.000472,20.000000,29.000000,24.000000,0.400000,2.884628,10.000000,128.000000,63.000000,0.010222,0.482500,0.110000,1.730000,32.807500,0.052166
