,likes
0,1906.461538
1,1814.000000
2,2114.000000
3,311.666667
4,5155.000000
5,564.333333
6,806.500000
7,1136.000000
8,1876.500000
9,956.000000
10,438.240000
11,885.500000
12,367.000000
13,200.000000
14,138.833333
15,3222.000000
16,1267.000000
17,27581.250000
18,205.500000
19,2297.500000
20,341.250000
21,343.000000
22,1790.000000
23,623.333333
24,1986.000000
25,5996.636364
26,1788.200000
27,12791.809524
28,270.333333
29,10504.000000
30,6042.750000
31,1347.100000
32,581.333333
33,1873.000000
34,458.800000
35,372.857143
36,1638.500000
37,956.600000
38,479.666667
39,1143.700000
40,13431.066667
41,997.555556
42,3357.000000
43,5130.500000
44,24819.000000
45,4285.000000
46,370.500000
47,4619.210526
48,1196.000000
49,1493.000000
50,2323.000000
51,1670.600000
52,392.000000
53,1146.000000
54,1602.000000
55,14764.500000
56,599.333333
57,209.000000
58,597.250000
59,975.000000
60,4010.428571
61,546.800000
62,9741.750000
63,2902.000000
64,1252.750000
65,911.500000
66,417.333333
67,1617.000000
68,1096.333333
69,9324.517241
70,189.000000
71,102.500000
72,5146.500000
73,413.500000
74,324.666667
75,2904.400000
76,4933.954545
77,1629.400000
78,830.000000
79,567.000000
80,304.500000
81,851.750000
82,3026.928571
83,2727.250000
84,995.250000
85,536.142857
86,476.000000
87,2993.000000
88,1325.500000
89,5706.000000
90,418.714286
91,325.750000
92,1707.200000
93,230.666667
94,2299.000000
95,264.000000
96,2292.666667
97,193.666667
98,245.333333
99,406.250000
100,915.000000
101,1712.000000
102,1142.666667
103,575.000000
104,1965.200000
105,13415.400000
106,218.200000
107,524.117647
108,566.000000
109,674.250000
110,90.000000
111,312.000000
112,922.000000
113,5936.555556
114,669.000000
115,535.666667
116,2889.800000
117,582.750000
118,729.000000
119,707.444444
120,477.800000
121,4743.500000
122,299.250000
123,445.166667
124,655.000000
125,1352.555556
126,948.333333
127,2492.000000
128,328.500000
129,11290.000000
130,349.000000
131,370.500000
132,2811.333333
133,11266.100000
134,1171.250000
135,456.400000
136,1164.200000
137,10649.000000
138,2936.200000
139,77790.400000
140,973.500000
141,2541.000000
142,2411.571429
143,4567.000000
144,3509.285714
145,12208.187500
146,759.000000
147,1051.666667
148,749.000000
149,834.000000
150,2177.800000
151,301.666667
152,681.666667
153,5747.000000
154,368.625000
155,1062.388889
156,338.666667
157,62.000000
158,5973.187500
159,1839.400000
160,3820.500000
161,6436.000000
162,2215.000000
163,502.428571
164,2249.000000
165,141.000000
166,1139.000000
167,6273.000000
168,665.500000
169,883.333333
170,489.500000
171,548.800000
172,270.500000
173,1045.500000
174,1420.000000
175,255.000000
176,828.250000
177,546.750000
178,4619.500000
179,6830.750000
180,551.500000
181,1363.500000
182,598.333333
183,593.750000
184,837.000000
185,47665.500000
186,926.250000
187,3669.000000
188,22107.750000
189,5473.333333
190,8465.272727
191,2730.250000
192,3494.777778
193,3976.100000
194,107.000000
195,2797.000000
196,270.333333
197,1494.000000
198,2697.200000
199,168.750000
200,1978.666667
201,466.666667
202,1923.000000
203,2334.857143
204,2340.285714
205,2076.666667
206,778.000000
207,7100.250000
208,1501.400000
209,1033.000000
210,1434.666667
211,335.000000
212,346.500000
213,1168.000000
214,7020.750000
215,1422.000000
216,684.500000
217,2061.333333
218,8934.666667
219,6376.000000
220,4744.307692
221,78.000000
222,288.000000
223,939.500000
224,501.500000
225,13025.000000
226,1343.000000
227,3518.000000
228,1921.600000
229,0.000000
230,192.000000
231,546.200000
232,137.500000
233,5465.777778
