,likes_rank
0,4
1,4
2,5
3,1
4,11
5,2
6,2
7,3
8,4
9,2
10,1
11,2
12,1
13,1
14,1
15,7
16,3
17,56
18,1
19,5
20,1
21,1
22,4
23,2
24,4
25,12
26,4
27,26
28,1
29,22
30,13
31,3
32,2
33,4
34,1
35,1
36,4
37,2
38,1
39,3
40,27
41,2
42,7
43,11
44,50
45,9
46,1
47,10
48,3
49,3
50,5
51,4
52,1
53,3
54,4
55,30
56,2
57,1
58,2
59,2
60,9
61,2
62,20
63,6
64,3
65,2
66,1
67,4
68,3
69,19
70,1
71,1
72,11
73,1
74,1
75,6
76,10
77,4
78,2
79,2
80,1
81,2
82,7
83,6
84,2
85,2
86,1
87,6
88,3
89,12
90,1
91,1
92,4
93,1
94,5
95,1
96,5
97,1
98,1
99,1
100,2
101,4
102,3
103,2
104,4
105,27
106,1
107,2
108,2
109,2
110,1
111,1
112,2
113,12
114,2
115,2
116,6
117,2
118,2
119,2
120,1
121,10
122,1
123,1
124,2
125,3
126,2
127,5
128,1
129,23
130,1
131,1
132,6
133,23
134,3
135,1
136,3
137,22
138,6
139,156
140,2
141,6
142,5
143,10
144,8
145,25
146,2
147,3
148,2
149,2
150,5
151,1
152,2
153,12
154,1
155,3
156,1
157,1
158,12
159,4
160,8
161,13
162,5
163,2
164,5
165,1
166,3
167,13
168,2
169,2
170,1
171,2
172,1
173,3
174,3
175,1
176,2
177,2
178,10
179,14
180,2
181,3
182,2
183,2
184,2
185,96
186,2
187,8
188,45
189,11
190,17
191,6
192,7
193,8
194,1
195,6
196,1
197,3
198,6
199,1
200,4
201,1
202,4
203,5
204,5
205,5
206,2
207,15
208,4
209,3
210,3
211,1
212,1
213,3
214,15
215,3
216,2
217,5
218,18
219,13
220,10
221,1
222,1
223,2
224,2
225,27
226,3
227,8
228,4
229,1
230,1
231,2
232,1
233,11
234,9
235,60
236,1
237,1
238,4
239,2
240,2
241,3
242,3
243,3
244,1
245,2
246,2
247,1
248,3
249,3
250,1
251,5
252,1
253,2
254,1
255,5
256,1
257,1
258,18
259,16
260,1
261,1
262,1
263,2
264,6
265,3
266,5
267,1
268,1
269,5
270,7
271,2
272,2
273,11
274,1
275,3
276,1
277,1
278,1
279,4
280,1
281,1
282,1
283,7
284,1
285,1
286,1
287,7
288,18
289,1
290,1
291,2
292,7
293,15
294,2
295,2
296,2
297,3
298,2
299,1
300,1
301,1
302,2
303,1
304,1
305,4
306,2
307,2
308,3
309,1
310,8
311,2
312,9
313,2
314,1
315,2
316,5
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,2
326,4
327,2
328,3
329,2
330,1
331,1
332,5
333,3
334,1
335,3
336,2
337,1
338,3
339,1
340,2
341,2
342,2
343,1
344,2
345,1
346,2
347,3
348,3
349,8
350,27
351,1
352,2
353,2
354,3
355,2
356,1
357,14
358,1
359,2
360,2
361,3
362,1
363,1
364,1
365,11
366,1
367,1
368,4
369,1
370,3
371,6
372,1
373,3
374,1
375,25
376,1
377,1
378,1
379,1
380,4
381,1
382,2
383,1
384,4
385,1
386,1
387,12
388,17
389,7
390,1
391,5
392,1
393,4
394,1
395,2
396,3
397,6
398,2
399,2
400,2
401,1
402,29
403,1
404,1
405,2
406,4
407,3
408,1
409,6
410,1
411,2
412,10
413,30
414,1
415,3
416,1
417,3
418,1
419,3
420,1
421,1
422,2
423,1
424,2
425,2
426,32
427,3
428,1
429,3
430,54
431,4
432,5
433,1
434,4
435,1
436,3
437,39
438,2
439,2
440,1
441,14
442,2
443,28
444,3
445,2
446,1
447,2
448,3
449,3
450,3
451,1
452,1
453,4
454,1
455,20
456,3
457,1
458,3
459,6
460,3
461,1
462,3
463,2
464,1
465,3
466,1
467,6
468,11
469,12
470,3
471,1
472,2
473,2
474,4
475,1
476,2
477,28
478,20
479,14
480,5
481,6
482,2
483,1
484,2
485,6
486,3
487,3
488,7
489,3
490,5
491,3
492,17
493,1
494,2
495,1
496,1
497,5
498,1
499,10
500,2
501,5
502,2
503,1
504,3
505,2
506,1
507,2
508,1
509,3
510,1
511,2
512,3
513,1
514,7
515,1
516,1
517,15
518,1
519,1
520,23
521,2
522,3
523,1
524,2
525,1
526,3
527,1
528,2
529,2
530,1
531,2
532,2
533,2
534,8
535,2
536,1
537,1
538,2
539,1
540,2
541,4
542,2
543,2
544,1
545,1
546,1
547,2
548,1
549,2
550,1
551,1
552,1
553,1
554,2
555,4
556,2
557,2
558,2
559,1
560,1
561,7
562,1
563,1
564,3
565,1
566,2
567,1
568,1
569,6
570,1
571,2
572,2
573,6
574,1
575,3
576,2
577,4
578,5
579,3
580,1
581,25
582,1
583,1
584,2
585,1
586,12
587,1
588,4
589,1
590,2
591,2
592,3
593,5
594,1
595,1
596,1
597,2
598,4
599,2
600,1
601,1
602,1
603,1
604,1
605,5
606,2
607,2
608,5
609,2
610,4
611,2
612,2
613,2
614,10
615,13
616,2
617,2
618,1
619,3
620,4
621,2
622,2
623,4
624,1
625,1
626,1
627,1
628,2
629,1
630,2
631,1
632,2
633,3
634,3
635,1
636,5
637,1
638,2
639,3
640,2
641,1
642,1
643,2
644,3
645,1
646,5
647,1
648,1
649,7
650,4
651,4
652,1
653,2
654,8
655,1
656,4
657,1
658,7
659,2
660,2
661,13
662,2
663,2
664,1
665,1
666,1
667,1
668,1
669,1
670,18
671,3
672,1
673,2
674,1
675,1
676,5
677,3
678,2
679,12
680,6
681,2
682,5
683,2
684,3
685,1
686,1
687,28
688,3
689,1
690,2
691,1
692,1
693,4
694,6
695,8
696,2
697,1
698,2
699,2
700,1
701,1
702,1
703,10
704,1
705,1
706,1
707,9
708,1
709,3
710,2
711,27
712,7
713,3
714,2
715,3
716,2
717,1
718,1
719,6
720,6
721,1
722,2
723,2
724,1
725,8
726,11
727,11
728,1
729,2
730,2
731,5
732,2
733,15
734,1
735,1
736,1
737,1
738,2
739,2
740,2
741,2
742,7
743,2
744,2
745,16
746,5
747,2
748,1
749,2
750,3
751,14
752,1
753,2
754,2
755,4
756,3
757,3
758,3
759,1
760,6
761,1
762,2
763,7
764,1
765,1
766,1
767,10
768,2
769,1
770,3
771,11
772,3
773,10
774,1
775,1
776,2
777,3
778,1
779,4
780,2
781,1
782,1
783,3
784,24
785,1
786,1
787,2
788,1
789,14
790,1
791,1
792,2
793,1
794,2
795,2
796,1
797,1
798,1
799,1
800,1
801,1
802,5
803,3
804,1
805,1
806,1
807,3
808,1
809,5
810,5
811,1
812,3
813,1
814,1
815,1
816,1
817,2
818,2
819,2
820,2
821,1
822,6
823,1
824,15
825,5
826,1
827,1
828,1
829,4
830,2
831,1
832,1
833,1
834,14
835,2
836,1
837,2
838,2
839,1
840,3
841,2
842,55
843,2
844,9
845,1
846,2
847,2
848,1
849,2
850,2
851,3
852,1
853,2
854,2
855,5
856,3
857,6
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,25
867,19
868,1
869,2
870,1
871,3
872,8
873,1
874,1
875,2
876,2
877,1
878,3
879,2
880,1
881,1
882,2
883,9
884,3
885,1
886,123
887,3
888,15
889,4
890,1
891,1
892,1
893,1
894,2
895,1
896,2
897,1
898,2
899,3
900,10
901,1
902,1
903,1
904,10
905,5
906,1
907,2
908,4
909,13
910,2
911,13
912,1
913,4
914,5
915,2
916,3
917,1
918,5
919,5
920,1
921,5
922,10
923,3
924,1
925,5
926,2
927,83
928,6
929,35
930,2
931,2
932,1
933,1
934,1
935,1
936,2
937,7
938,7
939,1
940,21
941,1
942,1
943,1
944,3
945,1
946,4
947,10
948,9
949,1
950,3
951,2
952,5
953,2
954,3
955,1
956,4
957,2
958,2
959,2
960,3
961,101
962,2
963,2
964,17
965,2
966,2
967,3
968,2
969,4
970,5
971,2
972,2
973,2
974,9
975,2
976,2
977,2
978,4
979,16
980,1
981,7
982,1
983,2
984,1
985,3
986,2
987,2
988,2
989,5
990,1
991,1
992,1
993,11
994,2
995,1
996,9
997,1
998,1
999,2
1000,1
1001,3
1002,1
1003,1
1004,4
1005,4
1006,2
1007,9
1008,2
1009,2
1010,42
1011,28
1012,1
1013,2
1014,1
1015,1
1016,2
1017,1
1018,1
1019,1
1020,6
1021,3
1022,1
1023,2
1024,2
1025,2
1026,2
1027,1
1028,2
1029,17
1030,2
1031,1
1032,2
1033,3
1034,9
1035,4
1036,1
1037,3
1038,7
1039,22
1040,2
1041,85
1042,1
1043,2
1044,2
1045,1
1046,1
1047,1
1048,7
1049,2
1050,3
1051,3
1052,2
1053,1
1054,3
1055,3
1056,1
1057,1
1058,3
1059,2
1060,2
1061,2
1062,1
1063,1
1064,1
1065,1
1066,2
1067,1
1068,1
1069,10
1070,1
1071,1
1072,1
1073,2
1074,14
1075,1
1076,1
1077,2
1078,2
1079,1
1080,1
1081,5
1082,1
1083,1
1084,1
1085,1
1086,1
1087,1
1088,2
1089,3
1090,1
1091,2
1092,2
1093,1
1094,4
1095,1
1096,2
1097,5
1098,3
1099,13
1100,2
1101,2
1102,1
1103,1
1104,2
1105,1
1106,1
1107,2
1108,2
1109,4
1110,1
1111,1
1112,1
1113,16
1114,1
1115,1
1116,1
1117,1
1118,1
1119,1
1120,1
1121,1
1122,1
1123,1
1124,5
1125,1
1126,1
1127,1
1128,2
1129,2
1130,2
1131,1
1132,1
1133,1
1134,1
1135,2
1136,5
1137,1
1138,1
1139,2
1140,2
1141,2
1142,13
1143,1
1144,1
1145,2
1146,8
1147,4
1148,8
1149,3
1150,4
1151,1
1152,1
1153,1
1154,3
1155,1
1156,5
1157,19
1158,6
1159,3
1160,1
1161,3
1162,1
1163,1
1164,1
1165,14
1166,1
1167,1
1168,2
1169,1
1170,1
1171,2
1172,1
1173,1
1174,4
1175,12
1176,1
1177,1
1178,1
1179,1
1180,14
1181,1
1182,1
1183,1
1184,8
1185,1
1186,2
1187,2
1188,1
1189,1
1190,1
1191,2
1192,3
1193,2
1194,1
1195,2
1196,3
1197,1
1198,1
1199,2
1200,1
1201,1
1202,2
1203,1
1204,1
1205,5
1206,1
1207,1
1208,6
1209,1
1210,1
1211,4
1212,1
1213,1
1214,2
1215,1
1216,2
1217,2
1218,1
1219,1
1220,1
1221,2
1222,1
1223,1
1224,17
1225,2
1226,1
1227,1
